Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Nacionalitat_propietari,Nombre_motos
2014,1,Ciutat Vella,1,el Raval,Espanyola,2230
2014,1,Ciutat Vella,2,el Barri Gòtic,Espanyola,4075
2014,1,Ciutat Vella,3,la Barceloneta,Espanyola,1718
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Espanyola,1716
2014,2,Eixample,5,el Fort Pienc,Espanyola,3512
2014,2,Eixample,6,la Sagrada Família,Espanyola,5678
2014,2,Eixample,7,la Dreta de l'Eixample,Espanyola,7469
2014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Espanyola,6507
2014,2,Eixample,9,la Nova Esquerra de l'Eixample,Espanyola,7543
2014,2,Eixample,10,Sant Antoni,Espanyola,4004
2014,3,Sants-Montjuïc,11,el Poble Sec,Espanyola,3332
2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Espanyola,340
2014,3,Sants-Montjuïc,13,la Marina de Port,Espanyola,2769
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,Espanyola,1160
2014,3,Sants-Montjuïc,15,Hostafrancs,Espanyola,1441
2014,3,Sants-Montjuïc,16,la Bordeta,Espanyola,1904
2014,3,Sants-Montjuïc,17,Sants - Badal,Espanyola,2290
2014,3,Sants-Montjuïc,18,Sants,Espanyola,4358
2014,4,Les Corts,19,les Corts,Espanyola,7142
2014,4,Les Corts,20,la Maternitat i Sant Ramon,Espanyola,3686
2014,4,Les Corts,21,Pedralbes,Espanyola,2898
2014,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Espanyola,746
2014,5,Sarrià-Sant Gervasi,23,Sarrià,Espanyola,5392
2014,5,Sarrià-Sant Gervasi,24,les Tres Torres,Espanyola,4304
2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Espanyola,6170
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Espanyola,12563
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Espanyola,5910
2014,6,Gràcia,28,Vallcarca i els Penitents,Espanyola,2508
2014,6,Gràcia,29,el Coll,Espanyola,1133
2014,6,Gràcia,30,la Salut,Espanyola,2108
2014,6,Gràcia,31,la Vila de Gràcia,Espanyola,6339
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Espanyola,4753
2014,7,Horta-Guinardó,33,el Baix Guinardó,Espanyola,3183
2014,7,Horta-Guinardó,34,Can Baró,Espanyola,1322
2014,7,Horta-Guinardó,35,el Guinardó,Espanyola,4120
2014,7,Horta-Guinardó,36,la Font d'en Fargues,Espanyola,1742
2014,7,Horta-Guinardó,37,el Carmel,Espanyola,3593
2014,7,Horta-Guinardó,38,la Teixonera,Espanyola,1341
2014,7,Horta-Guinardó,39,Sant Genís dels Agudells,Espanyola,731
